game_pk,game_date,home_team,away_team,delta_home_win_exp
156643,1969-04-08,BAL,BOS,6.275
156650,1969-04-08,STL,PIT,5.418
156647,1969-04-08,KC,MIN,4.623
156648,1969-04-08,NYM,MON,4.617
156649,1969-04-08,CHC,PHI,3.964
156642,1969-04-07,ATL,SF,3.747
156640,1969-04-07,CIN,LAD,3.112
156651,1969-04-08,LAA,SEA,2.7520000000000002
156646,1969-04-08,SD,HOU,2.485
156645,1969-04-08,DET,CLE,2.226
156652,1969-04-08,ATL,SF,2.175
156644,1969-04-08,OAK,CWS,1.824
156641,1969-04-07,WAS,NYY,1.173
156723,1969-04-15,CIN,SF,7.551
156670,1969-04-11,CLE,BOS,7.196
156656,1969-04-09,KC,MIN,6.587
156663,1969-04-10,BAL,BOS,5.042
156718,1969-04-15,CLE,DET,4.851
156676,1969-04-11,CHC,MON,4.811
156702,1969-04-13,CHC,MON,4.213
156677,1969-04-11,DET,NYY,3.755
156720,1969-04-15,PHI,NYM,3.749
156711,1969-04-14,SEA,KC,3.729
156717,1969-04-15,BOS,BAL,3.604
156715,1969-04-14,MON,STL,3.582
156697,1969-04-13,ATL,CIN,3.532
156724,1969-04-15,MON,STL,3.513
156701,1969-04-13,LAA,MIN,3.5060000000000002
156719,1969-04-15,OAK,MIN,3.3930000000000002
156704,1969-04-13,PIT,PHI,3.374
156672,1969-04-11,ATL,CIN,3.366
156680,1969-04-11,NYM,STL,3.321
156687,1969-04-12,LAA,MIN,3.173
156725,1969-04-15,NYY,WAS,3.164
156709,1969-04-14,BOS,BAL,3.118
156710,1969-04-14,LAA,CWS,3.072
156682,1969-04-12,CLE,BOS,2.851
156661,1969-04-09,LAA,SEA,2.789
156696,1969-04-13,ATL,CIN,2.604
156721,1969-04-15,CHC,PIT,2.585
156691,1969-04-12,SD,SF,2.569
156692,1969-04-12,NYM,STL,2.553
156655,1969-04-09,CIN,LAD,2.541
156657,1969-04-09,NYM,MON,2.538
156669,1969-04-10,STL,PIT,2.536
